query_id,config,faithfulness
test1531,config4_hybrid_rerank,0.6666666666666666
test1554,config4_hybrid_rerank,0.2857142857142857
test1734,config4_hybrid_rerank,1.0
test1989,config4_hybrid_rerank,1.0
test2105,config4_hybrid_rerank,1.0
test2119,config4_hybrid_rerank,0.5
test2175,config4_hybrid_rerank,0.5
test2233,config4_hybrid_rerank,1.0
test2259,config4_hybrid_rerank,1.0
test2276,config4_hybrid_rerank,1.0
test2281,config4_hybrid_rerank,0.6666666666666666
test2315,config4_hybrid_rerank,1.0
test2442,config4_hybrid_rerank,1.0
test2465,config4_hybrid_rerank,0.6666666666666666
test2533,config4_hybrid_rerank,1.0
test2597,config4_hybrid_rerank,1.0
test2609,config4_hybrid_rerank,0.3333333333333333
test2619,config4_hybrid_rerank,1.0
test2684,config4_hybrid_rerank,0.6666666666666666
test2711,config4_hybrid_rerank,1.0
test2815,config4_hybrid_rerank,1.0
test2818,config4_hybrid_rerank,0.5
test2920,config4_hybrid_rerank,0.0
test2962,config4_hybrid_rerank,1.0
test3075,config4_hybrid_rerank,0.6666666666666666
test3315,config4_hybrid_rerank,1.0
