query_id,config,is_refusal,em,f1
test870,config1_dense,0,0,0.4706
test873,config1_dense,1,0,0.0
test875,config1_dense,0,0,0.25
test877,config1_dense,1,0,0.069
test881,config1_dense,0,0,0.0
test891,config1_dense,0,1,1.0
test895,config1_dense,0,1,1.0
test898,config1_dense,0,0,0.0
test899,config1_dense,1,0,0.2381
test902,config1_dense,0,0,0.0833
test914,config1_dense,0,1,1.0
test920,config1_dense,0,,
test933,config1_dense,0,0,0.0
test937,config1_dense,1,0,0.0
test938,config1_dense,0,0,0.1212
test942,config1_dense,0,0,0.5
test952,config1_dense,0,1,1.0
test953,config1_dense,0,,
test963,config1_dense,1,0,0.0513
test968,config1_dense,0,0,0.2667
test974,config1_dense,1,0,0.0741
test977,config1_dense,1,0,0.0
test980,config1_dense,1,0,0.0
test986,config1_dense,0,0,0.2927
test995,config1_dense,0,0,0.2727
test1000,config1_dense,1,0,0.0
test1002,config1_dense,1,,
test1003,config1_dense,0,1,1.0
test1008,config1_dense,1,,
test1010,config1_dense,0,,
test1015,config1_dense,0,0,0.7111
test1018,config1_dense,1,0,0.0
test1022,config1_dense,0,0,0.2667
test1023,config1_dense,0,0,0.2857
test1028,config1_dense,1,,
test1029,config1_dense,0,0,0.6667
test1068,config1_dense,1,0,0.0
test1072,config1_dense,0,0,0.2222
test1076,config1_dense,1,0,0.0
test1078,config1_dense,1,0,0.0
test1081,config1_dense,0,0,0.4615
test1083,config1_dense,0,0,0.0
test1084,config1_dense,0,1,1.0
test1085,config1_dense,0,0,0.381
test1086,config1_dense,1,0,0.0
test1087,config1_dense,0,0,0.6667
test1092,config1_dense,1,,
test1093,config1_dense,0,0,0.3
test1096,config1_dense,0,0,0.8
test1105,config1_dense,0,1,1.0
test1115,config1_dense,1,0,0.0
test1126,config1_dense,0,0,0.8
test1133,config1_dense,1,0,0.0
test1138,config1_dense,1,0,0.0
test1139,config1_dense,1,,
test1140,config1_dense,0,,
test1154,config1_dense,0,,
test1167,config1_dense,0,0,0.2667
test1168,config1_dense,0,0,0.5333
test1185,config1_dense,0,1,1.0
test1200,config1_dense,0,1,1.0
test1202,config1_dense,1,,
test1215,config1_dense,1,0,0.0
test1222,config1_dense,0,0,0.6667
test1226,config1_dense,0,0,0.6667
test1228,config1_dense,1,,
test1239,config1_dense,0,0,0.5484
test1259,config1_dense,0,0,0.5405
test1262,config1_dense,0,0,0.1724
test1276,config1_dense,0,0,0.25
test1284,config1_dense,1,,
test1286,config1_dense,0,0,0.2105
test1288,config1_dense,1,0,0.0
test1292,config1_dense,0,0,0.3
test1295,config1_dense,1,0,0.0
test1327,config1_dense,1,,
test1328,config1_dense,0,1,1.0
test1353,config1_dense,0,0,0.0
test1366,config1_dense,1,0,0.0
test1378,config1_dense,1,0,0.0
test1384,config1_dense,0,0,0.5
test1389,config1_dense,1,0,0.0
test1393,config1_dense,0,0,0.2353
test1404,config1_dense,1,,
test1408,config1_dense,1,0,0.0
test1429,config1_dense,0,,
test1448,config1_dense,0,0,0.4286
test1451,config1_dense,0,0,0.3
test1455,config1_dense,0,,
test1465,config1_dense,0,0,0.5926
test1470,config1_dense,0,0,0.0435
test1481,config1_dense,1,0,0.0
test1482,config1_dense,1,0,0.0
test1486,config1_dense,0,0,0.2162
test1493,config1_dense,1,,
test1494,config1_dense,0,0,0.2857
test1512,config1_dense,0,0,0.2892
test1513,config1_dense,1,0,0.0
test1516,config1_dense,0,0,0.1765
test1529,config1_dense,0,0,0.4
test1531,config1_dense,0,,
test1550,config1_dense,0,0,0.036
test1552,config1_dense,0,0,0.0667
test1554,config1_dense,0,0,0.6349
test1556,config1_dense,1,0,0.0
test1563,config1_dense,0,0,0.4706
test1576,config1_dense,0,,
test1599,config1_dense,0,0,0.1111
test1620,config1_dense,0,0,0.1905
test1621,config1_dense,1,0,0.0
test1634,config1_dense,1,0,0.0
test1635,config1_dense,1,,
test1642,config1_dense,0,0,0.3
test1643,config1_dense,1,0,0.0
test1649,config1_dense,1,0,0.0
test1653,config1_dense,0,0,0.0833
test1664,config1_dense,1,0,0.0
test1667,config1_dense,1,0,0.0
test1683,config1_dense,1,0,0.0
test1717,config1_dense,1,0,0.0
test1718,config1_dense,0,1,1.0
test1728,config1_dense,1,0,0.0
test1729,config1_dense,0,,
test1731,config1_dense,1,0,0.0
test1732,config1_dense,1,0,0.1633
test1733,config1_dense,1,0,0.0
test1734,config1_dense,0,1,1.0
test1751,config1_dense,0,0,0.2759
test1754,config1_dense,1,,
test1760,config1_dense,1,0,0.0
test1765,config1_dense,0,0,0.1765
test1780,config1_dense,0,0,0.0
test1794,config1_dense,0,,
test1809,config1_dense,0,,
test1815,config1_dense,0,0,0.0
test1837,config1_dense,0,0,0.0
test1839,config1_dense,0,0,0.25
test1849,config1_dense,0,0,0.1765
test1857,config1_dense,1,0,0.1481
test1858,config1_dense,0,0,0.1379
test1863,config1_dense,0,,
test1872,config1_dense,1,,
test1877,config1_dense,1,0,0.0
test1879,config1_dense,0,0,0.5455
test1881,config1_dense,0,0,0.4
test1893,config1_dense,0,,
test1894,config1_dense,1,0,0.0
test1912,config1_dense,1,0,0.0
test1917,config1_dense,1,0,0.0
test1936,config1_dense,0,0,0.1667
test1937,config1_dense,0,1,1.0
test1946,config1_dense,0,0,0.4
test1952,config1_dense,0,0,0.3636
test1971,config1_dense,0,0,0.5
test1988,config1_dense,0,,
test1989,config1_dense,1,0,0.0
test1990,config1_dense,0,1,1.0
test1993,config1_dense,1,,
test2001,config1_dense,0,,
test2021,config1_dense,0,0,0.1333
test2044,config1_dense,0,0,0.1818
test2050,config1_dense,1,0,0.0
test2059,config1_dense,0,1,1.0
test2069,config1_dense,1,0,0.0
test2070,config1_dense,0,0,0.1905
test2072,config1_dense,0,0,0.5
test2079,config1_dense,0,1,1.0
test2080,config1_dense,1,,
test2087,config1_dense,1,0,0.0
test2105,config1_dense,1,0,0.0714
test2119,config1_dense,0,0,0.3636
test2141,config1_dense,1,0,0.0
test2161,config1_dense,0,0,0.0541
test2166,config1_dense,0,1,1.0
test2167,config1_dense,0,,
test2172,config1_dense,0,1,1.0
test2175,config1_dense,0,0,0.4444
test2181,config1_dense,0,,
test2187,config1_dense,0,,
test2196,config1_dense,0,,
test2199,config1_dense,1,,
test2202,config1_dense,1,0,0.1333
test2207,config1_dense,0,0,0.6
test2208,config1_dense,0,0,0.5882
test2209,config1_dense,1,,
test2214,config1_dense,0,0,0.1667
test2220,config1_dense,0,,
test2225,config1_dense,0,0,0.0
test2232,config1_dense,1,0,0.0
test2233,config1_dense,0,1,1.0
test2234,config1_dense,0,0,0.0
test2251,config1_dense,1,0,0.0
test2254,config1_dense,0,0,0.6154
test2259,config1_dense,0,,
test2261,config1_dense,0,1,1.0
test2263,config1_dense,0,0,0.0
test2266,config1_dense,0,0,0.2609
test2268,config1_dense,0,0,0.6667
test2271,config1_dense,0,0,0.2857
test2276,config1_dense,0,,
test2281,config1_dense,0,0,0.4444
test2293,config1_dense,0,0,0.0769
test2297,config1_dense,0,0,0.4444
test2298,config1_dense,0,0,0.3529
test2299,config1_dense,0,1,1.0
test2306,config1_dense,0,0,0.1379
test2315,config1_dense,0,0,0.4
test2323,config1_dense,0,0,0.8718
test2333,config1_dense,1,0,0.0
test2338,config1_dense,1,,
test2360,config1_dense,0,0,0.0513
test2364,config1_dense,1,0,0.0
test2371,config1_dense,0,0,0.0571
test2372,config1_dense,0,0,0.8649
test2385,config1_dense,1,0,0.0
test2390,config1_dense,1,0,0.0
test2392,config1_dense,1,,
test2394,config1_dense,1,0,0.0
test2409,config1_dense,1,,
test2410,config1_dense,0,0,0.25
test2413,config1_dense,0,1,1.0
test2418,config1_dense,0,0,0.4762
test2435,config1_dense,0,,
test2437,config1_dense,1,,
test2440,config1_dense,1,0,0.0
test2442,config1_dense,0,0,0.1538
test2453,config1_dense,0,,
test2465,config1_dense,1,0,0.1132
test2472,config1_dense,1,,
test2477,config1_dense,0,,
test2484,config1_dense,0,0,0.3077
test2494,config1_dense,1,0,0.0
test2495,config1_dense,0,0,0.0
test2505,config1_dense,1,0,0.0
test2533,config1_dense,1,0,0.0
test2536,config1_dense,0,0,0.3125
test2544,config1_dense,1,0,0.0
test2561,config1_dense,0,,
test2570,config1_dense,0,,
test2574,config1_dense,0,0,0.2857
test2584,config1_dense,1,,
test2597,config1_dense,1,0,0.0
test2598,config1_dense,0,0,0.4444
test2600,config1_dense,1,0,0.0
test2603,config1_dense,0,,
test2609,config1_dense,0,0,0.0
test2617,config1_dense,0,,
test2619,config1_dense,0,0,0.7222
test2621,config1_dense,0,,
test2625,config1_dense,0,0,0.3529
test2633,config1_dense,0,1,1.0
test2643,config1_dense,0,,
test2646,config1_dense,0,0,0.0
test2654,config1_dense,0,1,1.0
test2661,config1_dense,0,0,0.0
test2671,config1_dense,0,0,0.0
test2676,config1_dense,1,0,0.0
test2678,config1_dense,0,1,1.0
test2684,config1_dense,0,,
test2692,config1_dense,0,0,0.25
test2699,config1_dense,0,1,1.0
test2702,config1_dense,1,,
test2708,config1_dense,1,0,0.0
test2711,config1_dense,0,0,0.129
test2717,config1_dense,1,0,0.0
test2731,config1_dense,1,0,0.0
test2735,config1_dense,1,0,0.0
test2740,config1_dense,0,0,0.0556
test2743,config1_dense,0,0,0.2222
test2745,config1_dense,1,0,0.0
test2751,config1_dense,0,1,1.0
test2758,config1_dense,1,0,0.0
test2765,config1_dense,0,0,0.4615
test2771,config1_dense,1,,
test2786,config1_dense,0,0,0.2581
test2787,config1_dense,0,0,0.2105
test2792,config1_dense,0,,
test2793,config1_dense,0,0,0.1
test2799,config1_dense,0,0,0.1333
test2804,config1_dense,0,,
test2815,config1_dense,0,0,0.2667
test2818,config1_dense,1,,
test2825,config1_dense,0,,
test2830,config1_dense,0,0,0.8
test2853,config1_dense,0,0,0.0
test2859,config1_dense,0,,
test2872,config1_dense,1,0,0.0667
test2874,config1_dense,1,,
test2881,config1_dense,0,1,1.0
test2885,config1_dense,0,0,0.5
test2890,config1_dense,0,0,0.1772
test2899,config1_dense,0,0,0.1176
test2920,config1_dense,0,0,0.0
test2932,config1_dense,1,0,0.0
test2933,config1_dense,1,,
test2939,config1_dense,1,,
test2940,config1_dense,1,,
test2942,config1_dense,1,0,0.0
test2947,config1_dense,1,0,0.0
test2952,config1_dense,1,,
test2957,config1_dense,1,0,0.0
test2962,config1_dense,1,0,0.0
test2982,config1_dense,1,0,0.0
test2986,config1_dense,1,0,0.0
test2988,config1_dense,1,0,0.0
test2989,config1_dense,1,0,0.0
test2992,config1_dense,1,,
test2997,config1_dense,1,0,0.0
test3013,config1_dense,1,0,0.0
test3016,config1_dense,1,0,0.0
test3033,config1_dense,1,0,0.0
test3037,config1_dense,1,0,0.0
test3051,config1_dense,1,0,0.0
test3059,config1_dense,1,,
test3063,config1_dense,1,0,0.0
test3075,config1_dense,1,0,0.0
test3086,config1_dense,0,,
test3093,config1_dense,1,0,0.0
test3095,config1_dense,1,0,0.0
test3108,config1_dense,0,0,0.3077
test3110,config1_dense,1,0,0.0
test3115,config1_dense,1,0,0.069
test3120,config1_dense,1,0,0.0
test3123,config1_dense,1,0,0.0
test3127,config1_dense,1,0,0.0
test3132,config1_dense,1,0,0.0
test3136,config1_dense,1,,
test3147,config1_dense,0,0,0.2222
test3148,config1_dense,1,0,0.0
test3157,config1_dense,1,0,0.0
test3163,config1_dense,0,0,0.0
test3166,config1_dense,1,0,0.0
test3176,config1_dense,1,0,0.0
test3178,config1_dense,1,0,0.0
test3187,config1_dense,1,0,0.0
test3189,config1_dense,1,0,0.0
test3202,config1_dense,0,0,0.0
test3205,config1_dense,1,,
test3213,config1_dense,1,0,0.0
test3239,config1_dense,1,0,0.0
test3241,config1_dense,1,0,0.0
test3244,config1_dense,0,0,0.1818
test3248,config1_dense,1,0,0.0
test3259,config1_dense,1,,
test3261,config1_dense,1,0,0.0
test3283,config1_dense,1,,
test3297,config1_dense,1,0,0.0
test3300,config1_dense,1,0,0.1818
test3305,config1_dense,1,,
test3308,config1_dense,1,0,0.0
test3311,config1_dense,1,0,0.0769
test3315,config1_dense,0,0,0.087
test3328,config1_dense,0,0,0.0
test3334,config1_dense,1,0,0.125
test3351,config1_dense,1,,
test3388,config1_dense,0,,
test3391,config1_dense,1,0,0.0
test3396,config1_dense,1,0,0.0
test3401,config1_dense,1,0,0.0
test3407,config1_dense,1,0,0.0
test3408,config1_dense,1,0,0.0
test3409,config1_dense,1,0,0.0
test3420,config1_dense,1,0,0.0
test3424,config1_dense,1,0,0.0
test3426,config1_dense,1,0,0.0
test3436,config1_dense,0,0,0.169
test3444,config1_dense,0,0,0.05
test3450,config1_dense,1,0,0.0
test2,config2_dense_rerank,0,0,0.5714
test8,config2_dense_rerank,0,0,0.3636
test13,config2_dense_rerank,0,0,0.2857
test14,config2_dense_rerank,0,0,0.4444
test26,config2_dense_rerank,0,0,0.1835
test29,config2_dense_rerank,1,,
test32,config2_dense_rerank,0,0,0.1429
test38,config2_dense_rerank,1,0,0.0
test39,config2_dense_rerank,1,0,0.069
test47,config2_dense_rerank,0,1,1.0
test60,config2_dense_rerank,0,0,0.2553
test79,config2_dense_rerank,0,0,0.16
test86,config2_dense_rerank,0,0,0.1143
test102,config2_dense_rerank,0,0,0.1613
test108,config2_dense_rerank,1,0,0.0
test122,config2_dense_rerank,0,1,1.0
test128,config2_dense_rerank,0,,
test130,config2_dense_rerank,0,0,0.25
test131,config2_dense_rerank,0,0,0.1395
test147,config2_dense_rerank,0,0,0.32
test162,config2_dense_rerank,1,0,0.0
test163,config2_dense_rerank,1,0,0.0
test171,config2_dense_rerank,0,0,0.1404
test177,config2_dense_rerank,0,0,0.0
test180,config2_dense_rerank,0,0,0.0769
test187,config2_dense_rerank,1,0,0.0
test192,config2_dense_rerank,0,,
test205,config2_dense_rerank,0,0,0.1212
test207,config2_dense_rerank,0,0,0.4545
test208,config2_dense_rerank,0,1,1.0
test221,config2_dense_rerank,0,0,0.6061
test229,config2_dense_rerank,1,0,0.0
test232,config2_dense_rerank,1,0,0.0
test234,config2_dense_rerank,0,,
test237,config2_dense_rerank,0,,
test239,config2_dense_rerank,0,0,0.0
test240,config2_dense_rerank,1,,
test241,config2_dense_rerank,0,,
test248,config2_dense_rerank,1,0,0.1639
test249,config2_dense_rerank,0,0,0.0
test260,config2_dense_rerank,1,0,0.0
test262,config2_dense_rerank,0,,
test271,config2_dense_rerank,1,0,0.0
test276,config2_dense_rerank,0,0,0.375
test278,config2_dense_rerank,0,0,0.5538
test280,config2_dense_rerank,1,0,0.0
test281,config2_dense_rerank,0,0,0.1333
test283,config2_dense_rerank,0,0,0.1905
test284,config2_dense_rerank,0,,
test290,config2_dense_rerank,0,,
test292,config2_dense_rerank,1,0,0.0
test297,config2_dense_rerank,1,0,0.0
test300,config2_dense_rerank,0,0,0.0
test308,config2_dense_rerank,1,0,0.0
test322,config2_dense_rerank,0,,
test326,config2_dense_rerank,0,0,0.9048
test328,config2_dense_rerank,1,0,0.0
test335,config2_dense_rerank,0,0,0.12
test350,config2_dense_rerank,0,,
test356,config2_dense_rerank,1,,
test372,config2_dense_rerank,0,0,0.75
test378,config2_dense_rerank,0,0,0.4
test379,config2_dense_rerank,1,,
test382,config2_dense_rerank,0,,
test383,config2_dense_rerank,0,0,0.2326
test386,config2_dense_rerank,0,,
test396,config2_dense_rerank,1,0,0.0
test397,config2_dense_rerank,1,0,0.0
test401,config2_dense_rerank,0,1,1.0
test403,config2_dense_rerank,0,,
test409,config2_dense_rerank,1,0,0.0
test413,config2_dense_rerank,0,1,1.0
test418,config2_dense_rerank,0,1,1.0
test419,config2_dense_rerank,0,1,1.0
test421,config2_dense_rerank,0,1,1.0
test424,config2_dense_rerank,1,0,0.0
test435,config2_dense_rerank,0,1,1.0
test438,config2_dense_rerank,0,0,0.2353
test447,config2_dense_rerank,0,,
test449,config2_dense_rerank,0,,
test456,config2_dense_rerank,1,0,0.0
test458,config2_dense_rerank,0,0,0.4
test469,config2_dense_rerank,0,1,1.0
test472,config2_dense_rerank,0,1,1.0
test491,config2_dense_rerank,0,0,0.2857
test495,config2_dense_rerank,1,0,0.0
test511,config2_dense_rerank,0,1,1.0
test515,config2_dense_rerank,0,,
test522,config2_dense_rerank,1,0,0.0
test525,config2_dense_rerank,1,0,0.0
test535,config2_dense_rerank,0,0,0.3333
test536,config2_dense_rerank,0,0,0.0
test541,config2_dense_rerank,0,1,1.0
test542,config2_dense_rerank,0,1,1.0
test550,config2_dense_rerank,0,0,0.2
test566,config2_dense_rerank,1,0,0.1905
test571,config2_dense_rerank,1,0,0.0
test574,config2_dense_rerank,0,0,0.4211
test585,config2_dense_rerank,0,1,1.0
test606,config2_dense_rerank,0,0,0.1714
test610,config2_dense_rerank,0,0,0.5455
test626,config2_dense_rerank,1,0,0.0
test634,config2_dense_rerank,0,0,0.0952
test636,config2_dense_rerank,0,,
test644,config2_dense_rerank,0,1,1.0
test646,config2_dense_rerank,1,0,0.0
test647,config2_dense_rerank,0,1,1.0
test653,config2_dense_rerank,0,0,0.1429
test655,config2_dense_rerank,0,,
test661,config2_dense_rerank,1,0,0.0
test666,config2_dense_rerank,0,0,0.0
test669,config2_dense_rerank,0,0,0.5
test674,config2_dense_rerank,0,,
test676,config2_dense_rerank,0,0,0.3095
test681,config2_dense_rerank,1,0,0.0
test700,config2_dense_rerank,0,1,1.0
test731,config2_dense_rerank,0,0,0.2727
test751,config2_dense_rerank,0,1,1.0
test761,config2_dense_rerank,0,,
test777,config2_dense_rerank,0,0,0.2609
test779,config2_dense_rerank,1,0,0.0
test784,config2_dense_rerank,0,0,0.0
test787,config2_dense_rerank,1,0,0.0
test814,config2_dense_rerank,0,1,1.0
test823,config2_dense_rerank,0,1,1.0
test833,config2_dense_rerank,0,0,0.0
test836,config2_dense_rerank,0,,
test858,config2_dense_rerank,0,0,0.0952
test860,config2_dense_rerank,0,0,0.5
test862,config2_dense_rerank,0,1,1.0
test864,config2_dense_rerank,1,,
test867,config2_dense_rerank,1,0,0.0
test870,config2_dense_rerank,0,0,0.4706
test873,config2_dense_rerank,1,0,0.0
test875,config2_dense_rerank,0,0,0.1111
test877,config2_dense_rerank,1,0,0.0
test881,config2_dense_rerank,0,0,0.0
test891,config2_dense_rerank,0,1,1.0
test895,config2_dense_rerank,0,0,0.5
test898,config2_dense_rerank,0,0,0.25
test899,config2_dense_rerank,1,0,0.0
test902,config2_dense_rerank,0,0,0.2727
test914,config2_dense_rerank,0,0,0.1818
test920,config2_dense_rerank,0,,
test933,config2_dense_rerank,0,0,0.027
test937,config2_dense_rerank,1,0,0.0
test938,config2_dense_rerank,1,0,0.0
test942,config2_dense_rerank,0,0,0.5714
test952,config2_dense_rerank,1,0,0.0
test953,config2_dense_rerank,0,,
test963,config2_dense_rerank,1,0,0.0526
test968,config2_dense_rerank,0,0,0.16
test974,config2_dense_rerank,1,0,0.0741
test977,config2_dense_rerank,0,1,1.0
test980,config2_dense_rerank,1,0,0.0
test986,config2_dense_rerank,0,0,0.8718
test995,config2_dense_rerank,0,0,0.1395
test1000,config2_dense_rerank,1,0,0.0
test1002,config2_dense_rerank,0,,
test1003,config2_dense_rerank,0,1,1.0
test1008,config2_dense_rerank,1,,
test1010,config2_dense_rerank,0,,
test1015,config2_dense_rerank,0,0,0.6957
test1018,config2_dense_rerank,0,0,0.3077
test1022,config2_dense_rerank,0,0,0.2667
test1023,config2_dense_rerank,0,0,0.2857
test1028,config2_dense_rerank,1,,
test1029,config2_dense_rerank,0,0,0.6667
test1068,config2_dense_rerank,1,0,0.0
test1072,config2_dense_rerank,0,0,0.2222
test1076,config2_dense_rerank,0,0,0.0
test1078,config2_dense_rerank,1,0,0.0
test1081,config2_dense_rerank,0,0,0.4615
test1083,config2_dense_rerank,0,0,0.0
test1084,config2_dense_rerank,0,1,1.0
test1085,config2_dense_rerank,0,0,0.5333
test1086,config2_dense_rerank,1,0,0.0
test1087,config2_dense_rerank,0,0,0.6667
test1092,config2_dense_rerank,1,,
test1093,config2_dense_rerank,0,0,0.3
test1096,config2_dense_rerank,0,0,0.8
test1105,config2_dense_rerank,0,1,1.0
test1115,config2_dense_rerank,1,0,0.0
test1126,config2_dense_rerank,0,0,0.8
test1133,config2_dense_rerank,1,0,0.0
test1138,config2_dense_rerank,0,0,0.0952
test1139,config2_dense_rerank,1,,
test1140,config2_dense_rerank,0,,
test1154,config2_dense_rerank,1,,
test1167,config2_dense_rerank,0,0,0.2667
test1168,config2_dense_rerank,0,0,0.5333
test1185,config2_dense_rerank,1,0,0.0
test1200,config2_dense_rerank,0,1,1.0
test1202,config2_dense_rerank,1,,
test1215,config2_dense_rerank,1,0,0.0
test1222,config2_dense_rerank,0,0,0.6667
test1226,config2_dense_rerank,0,0,1.0
test1228,config2_dense_rerank,1,,
test1239,config2_dense_rerank,0,0,0.5484
test1259,config2_dense_rerank,0,0,0.4
test1262,config2_dense_rerank,0,0,0.1569
test1276,config2_dense_rerank,0,0,0.2222
test1284,config2_dense_rerank,0,,
test1286,config2_dense_rerank,0,0,0.2222
test1288,config2_dense_rerank,1,0,0.1935
test1292,config2_dense_rerank,0,0,0.3529
test1295,config2_dense_rerank,0,0,0.1176
test1327,config2_dense_rerank,0,,
test1328,config2_dense_rerank,0,0,0.2727
test1353,config2_dense_rerank,0,0,0.0
test1366,config2_dense_rerank,1,0,0.0
test1378,config2_dense_rerank,1,0,0.0
test1384,config2_dense_rerank,0,0,0.5
test1389,config2_dense_rerank,0,0,0.8571
test1393,config2_dense_rerank,0,0,0.2353
test1404,config2_dense_rerank,0,,
test1408,config2_dense_rerank,1,0,0.0
test1429,config2_dense_rerank,0,,
test1448,config2_dense_rerank,0,0,0.1667
test1451,config2_dense_rerank,0,0,0.1622
test1455,config2_dense_rerank,0,,
test1465,config2_dense_rerank,0,0,0.7586
test1470,config2_dense_rerank,0,0,0.1053
test1481,config2_dense_rerank,1,0,0.0
test1482,config2_dense_rerank,0,0,0.0625
test1486,config2_dense_rerank,0,0,0.2162
test1493,config2_dense_rerank,1,,
test1494,config2_dense_rerank,0,0,0.3077
test1512,config2_dense_rerank,0,0,0.25
test1513,config2_dense_rerank,0,1,1.0
test1516,config2_dense_rerank,0,0,0.2273
test1529,config2_dense_rerank,0,0,0.2667
test1531,config2_dense_rerank,0,,
test1550,config2_dense_rerank,0,0,0.1481
test1552,config2_dense_rerank,1,0,0.0
test1554,config2_dense_rerank,0,0,0.6667
test1556,config2_dense_rerank,1,0,0.0
test1563,config2_dense_rerank,0,0,0.4545
test1576,config2_dense_rerank,0,,
test1599,config2_dense_rerank,0,0,0.68
test1620,config2_dense_rerank,0,0,0.1905
test1621,config2_dense_rerank,1,0,0.0
test1634,config2_dense_rerank,1,0,0.0
test1635,config2_dense_rerank,1,,
test1642,config2_dense_rerank,1,0,0.1765
test1643,config2_dense_rerank,0,0,0.0741
test1649,config2_dense_rerank,1,0,0.0
test1653,config2_dense_rerank,1,0,0.0
test1664,config2_dense_rerank,0,0,0.0909
test1667,config2_dense_rerank,1,0,0.0
test1683,config2_dense_rerank,1,0,0.0
test1717,config2_dense_rerank,0,0,0.1429
test1718,config2_dense_rerank,0,1,1.0
test1728,config2_dense_rerank,0,0,0.0
test1729,config2_dense_rerank,0,,
test1731,config2_dense_rerank,0,0,0.125
test1732,config2_dense_rerank,0,0,0.1091
test1733,config2_dense_rerank,0,0,0.3158
